# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 12 15:18:02 2017
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,dec,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
327,HIP 107556,HIP 107556,HD 207098,GJ 837,2MASS J21470244-1607382,1,1,1,0,0,0,0,21h47m02.29s,-16.126566,-16d07m35.6s,11.87,,,2.850,0.020,0.300,0.020,A5mF2 (IV),8.380,0.060
328,HIP 107649,HIP 107649,HD 207129,GJ 838,2MASS J21481574-4718129,1,0,1,0,0,0,0,21h48m15.61s,-47.302898,-47d18m10.4s,15.99,0.16,-0.16,5.570,0.020,0.600,0.000,G0V,1.350,0.060
329,HIP 108870,HIP 108870,HD 209100,GJ 845,2MASS J22032156-5647093,1,1,1,1,0,0,0,22h03m17.44s,-56.779806,-56d46m47.3s,3.62,,,4.690,0.010,1.060,0.020,K4V,0.230,0.100
330,HIP 108917 A,HIP 108917 A,HD 209790,,2MASS J22034716+6437407,1,1,0,0,0,0,0,22h03m47.16s,64.627754,+64d37m39.9s,29.59,0.92,-0.86,4.400,0.020,0.340,0.020,Am,12.570,0.130
331,HIP 109176,HIP 109176,HD 210027,GJ 848,2MASS J22070067+2520424,1,1,1,0,0,0,0,22h07m00.47s,25.345046,+25d20m42.2s,11.73,0.12,-0.12,3.770,0.000,0.440,0.010,F5V,3.630,0.050
332,HIP 109268,HIP 109268,HD 209952,GJ 848.2,2MASS J22081397-4657393,0,1,0,0,0,0,0,22h08m13.98s,-46.960976,-46d57m39.5s,31.09,0.77,-0.81,1.740,,-0.130,,B7 IV,,
333,GJ 849,HIP 109388,,GJ 849,2MASS J22094029-0438267,1,0,1,0,0,1,1,22h09m39.68s,-4.640681,-04d38m26.5s,9.10,0.19,-0.18,10.370,0.010,1.500,0.010,M3,0.030,0.100
334,HIP 109427,HIP 109427,HD 210418,GJ 9771,2MASS J22101198+0611522,1,1,0,0,1,0,0,22h10m11.82s,6.197789,+06d11m52.0s,28.30,0.58,-0.55,3.520,0.000,0.090,0.000,A2V,27.660,0.070
335,HIP 109857,HIP 109857,HD 211336,GJ 4266,2MASS J22150213+5702367,1,1,0,0,0,0,0,22h15m01.68s,57.043465,+57d02m36.5s,26.20,0.81,-0.76,4.170,0.020,0.280,0.010,F0IV,12.040,0.120
336,HIP 110109,HIP 110109,HD 211415,GJ 853 A,2MASS J22181562-5337372 A,1,0,1,0,0,0,0,22h18m15.18s,-53.625536,-53d37m31.9s,13.79,,,5.360,0.010,0.610,0.020,G3V,1.230,0.060
337,HIP 110960 A,HIP 110960 A,HD 213052,,2MASS J22284987-0001124 A,1,1,0,0,0,0,0,22h28m49.80s,-0.020063,-00d01m12.2s,28.17,1.17,-1.08,3.650,0.010,0.410,0.020,F3III-IV,23.180,0.130
338,HIP 111169,HIP 111169,HD 213558,,2MASS J22311751+5016571,0,1,0,0,0,0,0,22h31m17.50s,50.282490,+50d16m57.0s,31.39,0.52,-0.54,3.770,,0.010,,A0,,
339,HIP 112447,HIP 112447,HD 215648,GJ 872 A,2MASS J22464156+1210228,1,1,1,0,1,1,0,22h46m41.44s,12.174084,+12d10m26.7s,16.30,,,4.200,0.000,0.500,0.010,F7V,4.860,0.100
340,HIP 112724,HIP 112724,HD 216228,,2MASS J22494081+6612013,0,1,0,0,0,0,0,22h49m40.82s,66.200409,+66d12m01.5s,35.37,0.64,-0.66,3.530,,1.050,,K0 III,,
341,HIP 112748,HIP 112748,HD 216131,GJ 4298,2MASS J22500017+2436056,0,1,0,0,0,0,0,22h50m00.19s,24.601580,+24d36m05.7s,35.78,0.96,-1.01,3.480,,0.940,,G8 III,,
342,HD 216437,HIP 113137,HD 216437,,2MASS J22543949-7004254,1,0,1,0,0,1,1,22h54m39.56s,-70.073887,-70d04m26.0s,26.75,0.27,-0.26,6.040,0.000,0.660,0.000,G2/3IV,2.440,0.050
343,51 Peg,HIP 113357,HD 217014,GJ 882,2MASS J22572795+2046077,1,0,1,0,0,1,1,22h57m27.85s,20.768684,+20d46m07.3s,15.61,0.16,-0.15,5.450,0.020,0.670,0.010,G5V,1.450,0.040
344,Fomalhaut,HIP 113368,HD 216956,GJ 881,2MASS J22573901-2937193,1,1,1,0,1,0,1,22h57m38.83s,-29.621837,-29d37m18.6s,7.70,,,1.230,0.010,0.140,0.010,A3V,16.470,0.040
345,HD 217107,HIP 113421,HD 217107,,2MASS J22581556-0223432,1,1,1,0,0,1,2,22h58m15.54s,-2.395346,-02d23m43.2s,19.86,0.20,-0.20,6.160,0.020,0.740,0.010,G8IV/V,1.240,0.040
346,HIP 113576,HIP 113576,HD 217357,GJ 884,2MASS J23001607-2231276,1,0,0,1,0,0,0,23h00m16.69s,-22.524488,-22d31m28.2s,8.22,0.08,-0.08,7.870,0.010,1.380,0.010,K5/M0V,0.100,0.030
347,HIP 113638,HIP 113638,HD 217364,,2MASS J23005281-5245150,0,1,0,0,0,0,0,23h00m52.81s,-52.754135,-52d45m14.9s,34.49,1.49,-1.63,4.120,,0.980,,G8/K0 III,,
348,HIP 114570,HIP 114570,HD 219080,GJ 891.1,2MASS J23123299+4924222,1,1,0,0,0,0,0,23h12m32.92s,49.405975,+49d24m21.5s,24.59,0.25,-0.24,4.520,0.020,0.300,0.010,F0V,7.720,0.060
349,HD 219134,HIP 114622,HD 219134,GJ 892,2MASS J23131692+5710059,1,1,1,1,1,1,6,23h13m14.74s,57.167638,+57d10m03.5s,6.54,0.07,-0.06,5.570,0.000,1.000,0.000,K3.0V,0.310,0.100
350,HD 219077,HIP 114699,HD 219077,,2MASS J23140661-6242002,1,1,0,0,0,1,1,23h14m05.98s,-62.698971,-62d41m56.3s,29.35,0.30,-0.29,6.120,0.020,0.780,0.020,G8V,3.030,0.110
351,HIP 114996,HIP 114996,HD 219571,GJ 9818,2MASS J23172579-5814087,1,1,0,0,0,0,0,23h17m25.81s,-58.235928,-58d14m09.3s,23.06,0.23,-0.23,3.990,0.020,0.410,0.010,F3IV/V,11.420,0.070
352,HD 220773,HIP 115697,HD 220773,,2MASS J23262744+0838376,0,0,1,0,0,1,1,23h26m27.44s,8.643845,+08d38m37.8s,48.43,2.32,-2.57,7.096,0.011,0.613,0.019,G0,,
353,HIP 116085,HIP 116085,HD 221354,GJ 895.4,2MASS J23312219+5909558,1,0,0,1,0,0,0,23h31m20.95s,59.165242,+59d09m54.9s,16.93,0.17,-0.17,6.750,0.020,0.840,0.000,K2V,0.580,0.040
354,HIP 116584,HIP 116584,HD 222107,GJ 9832,2MASS J23373382+4627298,1,1,0,0,0,0,0,23h37m33.71s,46.459176,+46d27m33.0s,26.41,0.27,-0.26,3.850,0.020,0.990,0.020,G8III-IV,25.570,0.060
355,HD 222155,HIP 116616,HD 222155,,2MASS J23380027+4859475,0,0,1,0,0,1,1,23h38m00.31s,48.996521,+48d59m47.5s,50.45,2.00,-2.18,7.114,0.010,0.645,0.018,G2 V,,
356,gam Cep,HIP 116727,HD 222404,GJ 903,2MASS J23392083+7737563,1,1,1,0,0,1,1,23h39m20.98s,77.631967,+77d37m55.1s,14.10,0.14,-0.14,3.210,0.010,1.030,0.010,K1IV,11.840,0.100
357,HIP 116771,HIP 116771,HD 222368,GJ 904,2MASS J23395706+0537343,1,1,1,0,1,1,0,23h39m56.82s,5.627354,+05d37m38.5s,13.71,,,4.130,0.000,0.510,0.010,F7V,3.700,0.100
358,HIP 117712,HIP 117712,HD 223778,GJ 909 A,2MASS J23522534+7532403 A,1,0,0,1,0,0,0,23h52m24.52s,75.544486,+75d32m40.2s,10.89,,,6.380,0.020,0.980,0.010,K3V,0.390,0.100
359,HIP 118268,HIP 118268,HD 224617,,2MASS J23591867+0651478,0,1,0,0,0,0,0,23h59m18.69s,6.863321,+06d51m48.0s,32.49,0.89,-0.94,4.010,,0.420,,F5,,
360,GJ 317,,,GJ 317,2MASS J08405923-2327232,0,0,1,0,0,1,1,08h40m59.22s,-23.456289,-23d27m22.6s,15.10,0.22,-0.22,11.970,0.014,1.500,0.044,M2.5 V,,
